"timestamp","sys_time","abs_timestamp","raw_x_gyro","raw_y_gyro","raw_z_gyro"
"0.0","1528923496105","5343320523318","1.5209961","-1.2646942","0.64619446"
"5.0","1528923496154","5343325558718","1.4881287","-1.2123566","0.7112732"
"10.0","1528923496155","5343330594118","1.463028","-1.2016754","0.7803955"
"15.0","1528923496156","5343335629519","1.4488525","-1.2367096","0.84664917"
"20.0","1528923496157","5343340664919","1.4485626","-1.3091125","0.9244232"
"25.0","1528923496159","5343345700320","1.4709778","-1.3811951","1.0065155"
"30.0","1528923496160","5343350735720","1.5154114","-1.4255981","1.0877686"
"35.0","1528923496162","5343355771120","1.58078","-1.4318695","1.1716614"
"40.0","1528923496163","5343360806521","1.6593475","-1.4034882","1.2617035"
"45.0","1528923496165","5343365841921","1.7389679","-1.3497162","1.3487701"
"50.0","1528923496166","5343370877321","1.8338623","-1.2645569","1.4477844"
"55.0","1528923496168","5343375912722","1.9302521","-1.1628265","1.5464478"
"60.0","1528923496169","5343380948122","2.022461","-1.0490875","1.6508484"
"65.0","1528923496171","5343385983523","2.107254","-0.931427","1.755722"
"70.0","1528923496172","5343391018923","2.1798553","-0.81629944","1.8548889"
"75.0","1528923496174","5343396054323","2.2349854","-0.7034149","1.9420166"
"80.0","1528923496177","5343401089724","2.2866516","-0.56407166","2.0378265"
"85.0","1528923496179","5343406125124","2.3300476","-0.4128723","2.1277008"
"90.0","1528923496181","5343411160525","2.3568573","-0.25164795","2.2099915"
"95.0","1528923496181","5343416195925","2.3642273","-0.092559814","2.2700195"
"100.0","1528923496182","5343421231325","2.3528442","0.039642334","2.3015442"
"105.0","1528923496183","5343426266726","2.3206177","0.13833618","2.310608"
"110.0","1528923496184","5343431302126","2.2661896","0.23612976","2.2765503"
"115.0","1528923496199","5343436337527","2.2072296","0.3301239","2.2136993"
"120.0","1528923496200","5343441372927","2.1557465","0.44029236","2.133438"
"125.0","1528923496203","5343446408327","2.1095734","0.5755615","2.049057"
"130.0","1528923496205","5343451443728","2.066864","0.72314453","1.9537964"
"135.0","1528923496207","5343456479128","2.0263367","0.8755188","1.8618317"
"140.0","1528923496212","5343461514529","1.9795532","1.0603333","1.7624817"
"146.0","1528923496213","5343466549929","1.9290924","1.2282715","1.6691437"
"151.0","1528923496219","5343471585329","1.8539124","1.3719788","1.5621796"
"156.0","1528923496224","5343476620730","1.7357941","1.4749908","1.4243164"
"161.0","1528923496228","5343481656130","1.5713196","1.5222931","1.2514191"
"166.0","1528923496234","5343486691530","1.3785248","1.5072174","1.057785"
"171.0","1528923496237","5343491726931","1.13031","1.4126892","0.82144165"
"176.0","1528923496241","5343496762331","0.8922119","1.2567902","0.60461426"
"181.0","1528923496247","5343501797732","0.6741638","1.0048981","0.39933777"
"186.0","1528923496252","5343506833132","0.49079895","0.69984436","0.21607971"
"191.0","1528923496257","5343511868532","0.3529358","0.40855408","0.060409546"
"196.0","1528923496261","5343516903933","0.25720215","0.16015625","-0.071502686"
"201.0","1528923496268","5343521939333","0.19805908","-0.016571045","-0.19726563"
"206.0","1528923496274","5343526974734","0.1864624","-0.07899475","-0.28445435"
"211.0","1528923496277","5343532010134","0.2114563","-0.060058594","-0.3427124"
"216.0","1528923496287","5343537045534","0.2700348","0.027526855","-0.3735962"
"221.0","1528923496289","5343542080935","0.3547516","0.1665039","-0.37573242"
"226.0","1528923496294","5343547116335","0.45799255","0.32910156","-0.3488617"
"231.0","1528923496297","5343552151736","0.5808563","0.49850464","-0.2972107"
"236.0","1528923496304","5343557187136","0.70158386","0.64515686","-0.23040771"
"241.0","1528923496310","5343562222536","0.8193207","0.7828827","-0.14170837"
"246.0","1528923496313","5343567257937","0.92655945","0.9019165","-0.03703308"
"251.0","1528923496325","5343572293337","1.0127411","0.99832153","0.06716919"
"256.0","1528923496328","5343577328738","1.0776062","1.0792542","0.16790771"
"261.0","1528923496334","5343582364138","1.1222076","1.1572571","0.26953125"
"266.0","1528923496339","5343587399538","1.1446838","1.2312775","0.3565216"
"271.0","1528923496340","5343592434939","1.1517334","1.3097992","0.42718506"
"276.0","1528923496343","5343597470339","1.1426697","1.3890686","0.47639465"
"281.0","1528923496347","5343602505739","1.1203003","1.4547882","0.49972534"
"287.0","1528923496356","5343607541140","1.088623","1.5004425","0.49761963"
"292.0","1528923496358","5343612576540","1.0456848","1.5242157","0.46757507"
"297.0","1528923496363","5343617611941","0.99961853","1.5309143","0.41539"
"302.0","1528923496369","5343622647341","0.94940186","1.5261841","0.35003662"
"307.0","1528923496373","5343627682741","0.8938904","1.498642","0.28105164"
"312.0","1528923496377","5343632718142","0.83413696","1.4437103","0.21089172"
"317.0","1528923496382","5343637753542","0.76672363","1.3636017","0.13272095"
"322.0","1528923496387","5343642788943","0.69551086","1.2641907","0.05493164"
"327.0","1528923496391","5343647824343","0.63516235","1.1643219","-0.0059051514"
"332.0","1528923496396","5343652859743","0.58821106","1.0695496","-0.049850464"
"337.0","1528923496401","5343657895144","0.55773926","0.989975","-0.0816803"
"342.0","1528923496407","5343662930544","0.55451965","0.94425964","-0.09925842"
"347.0","1528923496411","5343667965945","0.58343506","0.93788147","-0.09329224"
"352.0","1528923496417","5343673001345","0.646225","0.97332764","-0.056350708"
"357.0","1528923496422","5343678036745","0.7283478","1.0422668","0.0024719238"
"362.0","1528923496426","5343683072146","0.82199097","1.1381989","0.07180786"
"367.0","1528923496431","5343688107546","0.7459259","1.7419128","0.10394287"
"372.0","1528923496437","5343693142946","0.551239","2.6264038","0.11061096"
"377.0","1528923496441","5343698178347","0.4667511","3.047287","0.18789673"
"382.0","1528923496446","5343703213747","0.52279663","2.864853","0.30802917"
"387.0","1528923496451","5343708249148","0.53030396","2.631012","0.35920715"
"392.0","1528923496456","5343713284548","0.4655609","2.4841003","0.36436462"
"397.0","1528923496461","5343718319948","0.40745544","2.2673798","0.35461426"
"402.0","1528923496467","5343723355349","0.36016846","2.004486","0.33299255"
"407.0","1528923496471","5343728390749","0.27809143","1.753479","0.26856995"
"412.0","1528923496476","5343733426150","0.18780518","1.4886475","0.17826843"
"417.0","1528923496481","5343738461550","0.11187744","1.209671","0.10180664"
"422.0","1528923496487","5343743496950","0.04273987","0.9648895","0.045303345"
"428.0","1528923496491","5343748532351","-0.01171875","0.737442","0.009490967"
"433.0","1528923496496","5343753567751","-0.045578003","0.5323181","-0.013046265"
"438.0","1528923496501","5343758603152","-0.07476807","0.3479309","-0.030456543"
"443.0","1528923496507","5343763638552","-0.089141846","0.20175171","-0.029266357"
"448.0","1528923496511","5343768673952","-0.09375","0.08015442","-0.024749756"
"453.0","1528923496516","5343773709353","-0.09251404","-0.013458252","-0.025802612"
"458.0","1528923496521","5343778744753","-0.088531494","-0.078430176","-0.028884888"
"463.0","1528923496526","5343783780154","-0.08105469","-0.11633301","-0.030212402"
"468.0","1528923496531","5343788815554","-0.07009888","-0.14207458","-0.034118652"
"473.0","1528923496535","5343793850954","-0.059173584","-0.14587402","-0.032791138"
"478.0","1528923496541","5343798886355","-0.035964966","-0.12971497","-0.012451172"
"483.0","1528923496546","5343803921755","-0.012084961","-0.101638794","0.02381897"
"488.0","1528923496551","5343808957155","0.008743286","-0.05770874","0.057724"
"493.0","1528923496556","5343813992556","0.017791748","-0.02166748","0.07800293"
"498.0","1528923496560","5343819027956","0.018920898","-0.0056915283","0.08267212"
"503.0","1528923496566","5343824063357","0.007675171","-0.015213013","0.067474365"
"508.0","1528923496570","5343829098757","-0.012390137","-0.046554565","0.039001465"
"513.0","1528923496575","5343834134157","-0.03514099","-0.083358765","0.009643555"
"518.0","1528923496581","5343839169558","-0.05784607","-0.10845947","-0.007888794"
"523.0","1528923496586","5343844204958","-0.07092285","-0.113586426","-0.014953613"
