"timestamp","sys_time","abs_timestamp","raw_x_acc","raw_y_acc","raw_z_acc"
"0.0","1528923495719","5342932797488","0.52171326","1.9775696","10.195892"
"5.0","1528923495721","5342937832888","0.4577484","2.029663","10.55928"
"10.0","1528923495721","5342942868288","0.4784851","2.11734","10.7703705"
"15.0","1528923495721","5342947903689","0.3428955","2.1351013","10.980164"
"20.0","1528923495721","5342952939089","0.14292908","2.1042175","10.924057"
"25.0","1528923495722","5342957974489","0.11482239","2.2073975","11.025238"
"30.0","1528923495722","5342963009890","-0.22286987","2.267456","11.059906"
"35.0","1528923495722","5342968045290","-0.58851624","2.4361267","11.258347"
"40.0","1528923495722","5342973080691","-1.0046234","2.478424","11.066818"
"45.0","1528923495800","5342978116091","-1.489914","2.6132202","11.011993"
"50.0","1528923495801","5342983151491","-2.1961975","2.8186493","10.794922"
"55.0","1528923495801","5342988186892","-2.5453796","2.962387","9.815903"
"60.0","1528923495801","5342993222292","-4.043686","2.6841583","7.647232"
"65.0","1528923495802","5342998257693","-6.107071","2.221878","4.733795"
"70.0","1528923495802","5343003293093","-7.1486816","2.231659","3.1379852"
"75.0","1528923495802","5343008328493","-5.9213715","2.9415588","4.3311462"
"80.0","1528923495802","5343013363894","-4.174637","3.8460236","6.232086"
"85.0","1528923495803","5343018399294","-3.2615051","3.9395447","7.5624847"
"90.0","1528923495803","5343023434695","-2.4659576","3.603592","8.933258"
"95.0","1528923495803","5343028470095","-1.7952118","3.265213","9.911148"
"100.0","1528923495804","5343033505495","-1.4143372","3.2388458","10.571259"
"105.0","1528923495804","5343038540896","-1.3502197","3.3460999","10.844833"
"110.0","1528923495804","5343043576296","-1.4321747","3.4243927","10.701126"
"115.0","1528923495804","5343048611696","-1.6667023","3.4046478","10.525879"
"120.0","1528923495805","5343053647097","-1.9277496","3.3993835","10.330811"
"125.0","1528923495882","5343058682497","-2.1180573","3.3882294","10.1397705"
"130.0","1528923495883","5343063717898","-2.1679688","3.458191","9.885635"
"135.0","1528923495883","5343068753298","-2.149582","3.5533142","9.826126"
"140.0","1528923495884","5343073788698","-2.154663","3.635971","9.966415"
"146.0","1528923495884","5343078824099","-2.1627197","3.6943665","10.245529"
"151.0","1528923495885","5343083859499","-2.164322","3.7153778","10.278488"
"156.0","1528923495885","5343088894900","-1.965805","3.785553","10.394043"
"161.0","1528923495885","5343093930300","-1.7467499","3.8545837","10.572723"
"166.0","1528923495886","5343098965700","-1.5725403","3.8525543","10.895981"
"171.0","1528923495886","5343104001101","-1.5841064","3.7990417","11.081207"
"176.0","1528923495886","5343109036501","-1.7206573","3.7883148","11.23288"
"181.0","1528923495886","5343114071902","-1.9800415","3.8650208","11.179611"
"186.0","1528923495887","5343119107302","-2.2968903","3.9042816","11.052872"
"191.0","1528923495887","5343124142702","-2.4743195","4.156357","10.683716"
"196.0","1528923495887","5343129178103","-2.5518646","4.3694763","9.926559"
"201.0","1528923495887","5343134213503","-2.563446","4.6723633","9.049316"
"206.0","1528923495963","5343139248904","-2.791031","4.9703674","9.588348"
"211.0","1528923496042","5343144284304","-2.9989624","5.247223","8.871979"
"216.0","1528923496043","5343149319704","-2.998764","5.5987396","7.789627"
"221.0","1528923496043","5343154355105","-2.832077","5.6578827","6.7399597"
"226.0","1528923496043","5343159390505","-2.894806","5.7482452","5.8521423"
"231.0","1528923496043","5343164425905","-2.6110077","6.051956","5.485733"
"236.0","1528923496044","5343169461306","-2.0981293","6.4122467","5.4351044"
"241.0","1528923496044","5343174496706","-1.6900482","6.628006","5.286148"
"246.0","1528923496044","5343179532107","-1.411972","6.8106537","5.277313"
"251.0","1528923496045","5343184567507","-1.2097015","7.04216","5.439575"
"256.0","1528923496045","5343189602907","-1.1079865","7.2673187","5.6907043"
"261.0","1528923496045","5343194638308","-1.0781555","7.5570374","6.0592346"
"266.0","1528923496052","5343199673708","-1.0069733","7.8591003","6.4958344"
"271.0","1528923496053","5343204709109","-1.0171814","8.052612","7.0341187"
"276.0","1528923496053","5343209744509","-1.2302399","8.153534","7.3729553"
"281.0","1528923496053","5343214779909","-1.4311981","8.202927","7.578247"
"287.0","1528923496054","5343219815310","-1.3255768","8.282898","7.3835144"
"292.0","1528923496054","5343224850710","-1.0717468","8.360474","6.9011536"
"297.0","1528923496054","5343229886111","-0.86613464","8.359985","6.3953247"
"302.0","1528923496055","5343234921511","-0.6565094","8.372055","5.8701324"
"307.0","1528923496055","5343239956911","-0.4132843","8.381836","5.342804"
"312.0","1528923496055","5343244992312","-0.38519287","8.306885","4.9058685"
"317.0","1528923496056","5343250027712","-0.6892853","8.172638","4.817459"
"322.0","1528923496060","5343255063113","-0.9820709","8.082504","4.9138184"
"327.0","1528923496060","5343260098513","-1.1305084","7.947403","4.9643707"
"332.0","1528923496060","5343265133913","-1.2557526","7.772278","5.0371246"
"337.0","1528923496061","5343270169314","-1.3737335","7.5469055","5.219452"
"342.0","1528923496071","5343275204714","-1.6188049","7.217285","5.4604797"
"347.0","1528923496086","5343280240114","-1.8407593","6.8460846","5.737961"
"352.0","1528923496087","5343285275515","-1.9569092","6.4808655","5.8633423"
"357.0","1528923496089","5343290310915","-1.970932","6.168091","5.81102"
"362.0","1528923496092","5343295346316","-1.8003387","5.86882","5.77005"
"367.0","1528923496092","5343300381716","-1.615921","5.5315094","5.59671"
"372.0","1528923496093","5343305417116","-1.5871735","5.1629486","5.5509033"
"377.0","1528923496093","5343310452517","-1.5639648","4.8583984","5.5532684"
"382.0","1528923496093","5343315487917","-1.5808105","4.6121063","5.5190277"
"387.0","1528923496105","5343320523318","-1.705658","4.310913","5.4206085"
"392.0","1528923496125","5343325558718","-1.6873474","4.0487366","5.2398834"
"397.0","1528923496154","5343330594118","-1.6565857","3.7745514","5.1424713"
"402.0","1528923496156","5343335629519","-1.8101501","3.3783875","5.316269"
"407.0","1528923496157","5343340664919","-1.9633484","2.9036865","5.6968994"
"412.0","1528923496159","5343345700320","-1.9083405","2.5440521","6.314621"
"417.0","1528923496160","5343350735720","-2.0494537","2.2173615","6.747299"
"422.0","1528923496162","5343355771120","-2.2030334","2.0069275","7.144562"
"428.0","1528923496163","5343360806521","-2.2761993","1.9242706","7.396042"
"433.0","1528923496164","5343365841921","-2.3230133","1.9528961","7.6352234"
"438.0","1528923496166","5343370877321","-2.5466003","1.9230347","7.9308167"
"443.0","1528923496167","5343375912722","-2.813446","1.9611816","7.9524384"
"448.0","1528923496169","5343380948122","-2.7770386","2.1879425","7.9721985"
"453.0","1528923496170","5343385983523","-2.816391","2.2772522","7.9191895"
"458.0","1528923496171","5343391018923","-2.9211578","2.458847","7.877655"
"463.0","1528923496173","5343396054323","-2.9644165","2.6279602","8.0457"
"468.0","1528923496176","5343401089724","-3.050232","2.7316284","8.231949"
"473.0","1528923496178","5343406125124","-2.8224182","2.9557495","8.031906"
"478.0","1528923496180","5343411160525","-2.3075867","3.2197418","7.921814"
"483.0","1528923496181","5343416195925","-2.1996002","3.3462372","7.6379395"
"488.0","1528923496182","5343421231325","-1.8004303","3.684021","7.356125"
"493.0","1528923496182","5343426266726","-1.3493195","3.9488525","7.405487"
"498.0","1528923496184","5343431302126","-1.1724396","4.199997","7.5840607"
"503.0","1528923496186","5343436337527","-1.1923676","4.419754","7.9879"
"508.0","1528923496199","5343441372927","-1.1886292","4.601944","8.294647"
"513.0","1528923496203","5343446408327","-0.84228516","5.044693","8.411346"
"518.0","1528923496205","5343451443728","-0.8881531","5.3868103","8.532196"
"523.0","1528923496207","5343456479128","-0.92807007","5.7546997","8.796173"
"528.0","1528923496211","5343461514529","-0.70466614","6.2894287","8.438278"
"533.0","1528923496212","5343466549929","-0.3527069","6.788208","7.986725"
"538.0","1528923496217","5343471585329","0.2457428","7.3661194","7.094696"
"543.0","1528923496223","5343476620730","0.8702698","8.020676","6.085129"
"548.0","1528923496228","5343481656130","1.265625","8.539581","5.312271"
"553.0","1528923496231","5343486691530","1.4608917","8.944321","4.6705627"
"558.0","1528923496237","5343491726931","1.5195007","9.3845825","4.400482"
"563.0","1528923496241","5343496762331","1.3951569","9.153717","4.145447"
"569.0","1528923496246","5343501797732","1.1325531","9.097244","4.487381"
"574.0","1528923496251","5343506833132","1.0995636","8.978622","5.1864166"
"579.0","1528923496256","5343511868532","1.0814056","8.710403","5.884903"
"584.0","1528923496261","5343516903933","1.2045135","8.531876","6.9995117"
"589.0","1528923496267","5343521939333","0.88360596","8.153992","7.742752"
"594.0","1528923496273","5343526974734","0.9968567","7.969986","8.596191"
"599.0","1528923496276","5343532010134","0.87753296","7.7682953","9.118423"
"604.0","1528923496286","5343537045534","0.66293335","7.5680847","9.70932"
"609.0","1528923496289","5343542080935","0.5278473","7.485611","9.786346"
"614.0","1528923496293","5343547116335","0.56314087","7.5487366","9.670639"
"619.0","1528923496296","5343552151736","0.47273254","7.612274","9.580627"
"624.0","1528923496302","5343557187136","0.18371582","7.7465973","9.441483"
"629.0","1528923496310","5343562222536","0.19706726","8.0733185","9.231125"
"634.0","1528923496312","5343567257937","0.263443","8.395538","8.810776"
"639.0","1528923496317","5343572293337","0.29386902","8.634033","8.446228"
"644.0","1528923496325","5343577328738","0.26568604","8.757599","8.091583"
"649.0","1528923496331","5343582364138","0.3245697","8.881531","7.8476715"
"654.0","1528923496339","5343587399538","0.44604492","8.95578","7.5853424"
"659.0","1528923496340","5343592434939","0.60276794","9.055862","7.293442"
"664.0","1528923496342","5343597470339","0.8501129","9.120483","6.961685"
"669.0","1528923496346","5343602505739","1.1013641","9.199692","6.5397186"
"674.0","1528923496355","5343607541140","1.335968","9.302475","6.184326"
"679.0","1528923496358","5343612576540","1.5800171","9.413467","5.9315796"
"684.0","1528923496360","5343617611941","1.6505127","9.465485","5.6900635"
"689.0","1528923496368","5343622647341","1.6088867","9.500717","5.2725983"
"694.0","1528923496372","5343627682741","1.7197418","9.592209","4.7300262"
"699.0","1528923496376","5343632718142","1.9342346","9.706436","4.5103607"
"704.0","1528923496381","5343637753542","1.8847198","9.582596","4.350128"
"709.0","1528923496386","5343642788943","1.5605011","9.385513","4.192398"
"715.0","1528923496390","5343647824343","1.3740845","9.303818","4.240799"
"720.0","1528923496395","5343652859743","1.33844","9.170639","4.461899"
"725.0","1528923496400","5343657895144","1.1456146","8.942642","4.8870697"
"730.0","1528923496406","5343662930544","0.63986206","8.641678","5.348831"
"735.0","1528923496410","5343667965945","0.14317322","8.408722","5.7902985"
"740.0","1528923496415","5343673001345","-0.08351135","8.340515","6.0198517"
"745.0","1528923496420","5343678036745","-0.19017029","8.401672","6.0466614"
"750.0","1528923496425","5343683072146","0.5482483","11.117386","14.028564"
"755.0","1528923496430","5343688107546","-0.7975769","10.334763","10.86647"
"760.0","1528923496436","5343693142946","-1.5428314","8.411865","5.194107"
"765.0","1528923496440","5343698178347","-0.89727783","8.392853","3.2075348"
"770.0","1528923496445","5343703213747","0.08282471","9.665756","3.9743805"
"775.0","1528923496450","5343708249148","0.31880188","9.991196","4.6234436"
"780.0","1528923496455","5343713284548","0.15342712","9.701508","3.0748749"
"785.0","1528923496460","5343718319948","0.21800232","10.010056","2.7224274"
"790.0","1528923496466","5343723355349","0.6764984","10.683502","2.8876343"
"795.0","1528923496470","5343728390749","0.50964355","10.456619","2.3973236"
"800.0","1528923496475","5343733426150","-0.057113647","9.864014","2.680359"
"805.0","1528923496480","5343738461550","-0.43322754","9.51561","3.2512512"
"810.0","1528923496486","5343743496950","-0.77407837","9.19632","3.3444366"
"815.0","1528923496490","5343748532351","-0.96203613","9.033112","3.7484741"
"820.0","1528923496495","5343753567751","-1.2508087","8.923813","4.087845"
"825.0","1528923496500","5343758603152","-1.4253235","8.413544","4.3717804"
"830.0","1528923496506","5343763638552","-1.082367","8.455322","4.321884"
"835.0","1528923496510","5343768673952","-0.99409485","8.470215","4.416519"
"840.0","1528923496515","5343773709353","-0.82681274","8.781418","4.499069"
"845.0","1528923496520","5343778744753","-0.98609924","8.89418","4.587219"
"850.0","1528923496525","5343783780154","-1.0133362","9.195068","4.3926697"
"856.0","1528923496530","5343788815554","-1.0841064","9.236557","4.586563"
"861.0","1528923496535","5343793850954","-1.2963867","9.265671","4.668808"
"866.0","1528923496540","5343798886355","-1.4045715","9.421356","4.601776"
"871.0","1528923496545","5343803921755","-1.0597382","9.585846","4.5717773"
"876.0","1528923496550","5343808957155","-0.92962646","9.997223","4.1139526"
"881.0","1528923496555","5343813992556","-0.65267944","10.16185","3.749878"
"886.0","1528923496559","5343819027956","-0.37921143","10.306915","3.691803"
"891.0","1528923496565","5343824063357","-0.339386","10.333084","3.447464"
"896.0","1528923496569","5343829098757","-0.42082214","10.402695","3.4571686"
"901.0","1528923496574","5343834134157","-0.66226196","10.138977","3.6705627"
"906.0","1528923496579","5343839169558","-0.60050964","10.124481","3.7881165"
"911.0","1528923496586","5343844204958","-0.686615","10.173218","3.837616"
"916.0","1528923496594","5343849240359","-0.61094666","10.319794","4.1874695"
"921.0","1528923496600","5343854275759","-0.71481323","10.338867","4.4656982"
"926.0","1528923496605","5343859311159","-0.63449097","10.538437","4.299988"
"931.0","1528923496610","5343864346560","-0.532074","10.60762","4.02359"
"936.0","1528923496615","5343869381960","-0.42755127","10.819244","3.7830963"
"941.0","1528923496616","5343874417361","-0.4476471","10.93306","3.4528198"
"946.0","1528923496625","5343879452761","-0.480011","10.910339","3.3124084"
"951.0","1528923496629","5343884488161","-0.50094604","10.756287","3.2596436"
"956.0","1528923496634","5343889523562","-0.34506226","10.671295","3.3006897"
"961.0","1528923496639","5343894558962","-0.46276855","10.4131775","3.5646515"
"966.0","1528923496646","5343899594363","-0.64889526","10.21875","3.9959106"
"971.0","1528923496650","5343904629763","-0.73654175","9.992783","4.329834"
"976.0","1528923496654","5343909665163","-0.87794495","10.005127","4.679535"
"981.0","1528923496659","5343914700564","-0.87576294","10.91478","4.4549713"
"986.0","1528923496665","5343919735964","-1.3115997","8.757095","5.5050507"
"991.0","1528923496669","5343924771364","-1.3405762","9.099121","5.6704254"
"997.0","1528923496674","5343929806765","-1.5805817","9.083847","5.3784943"
"1002.0","1528923496679","5343934842165","-1.4574127","9.859329","4.5680237"
"1007.0","1528923496684","5343939877566","-1.4220428","8.985992","5.951187"
"1012.0","1528923496690","5343944912966","-0.8584137","9.25148","5.4789124"
"1017.0","1528923496694","5343949948366","-0.42004395","9.51001","4.7796783"
"1022.0","1528923496699","5343954983767","-0.25131226","9.7730255","3.9578552"
"1027.0","1528923496705","5343960019167","-0.3299713","9.958801","3.4241028"
"1032.0","1528923496709","5343965054568","-0.55729675","9.602753","3.8456726"
"1037.0","1528923496714","5343970089968","-0.47529602","9.546494","3.6400146"
"1042.0","1528923496719","5343975125368","-0.3556366","9.580231","3.7227783"
"1047.0","1528923496725","5343980160769","-0.35186768","9.566971","4.0205383"
"1052.0","1528923496730","5343985196169","-0.4643402","9.474686","4.1225586"
"1057.0","1528923496734","5343990231570","-0.5013733","9.4435425","4.3082275"
"1062.0","1528923496739","5343995266970","-0.59095764","9.4135895","4.5109253"
"1067.0","1528923496745","5344000302370","-0.77760315","9.34816","4.483963"
"1072.0","1528923496749","5344005337771","-0.7470093","9.396683","4.2948914"
"1077.0","1528923496754","5344010373171","-0.58110046","9.436508","4.243973"
"1082.0","1528923496759","5344015408571","-0.44300842","9.472687","4.196823"
"1087.0","1528923496764","5344020443972","-0.3410492","9.588348","4.0995026"
"1092.0","1528923496769","5344025479372","-0.32434082","9.660965","4.214752"
"1097.0","1528923496774","5344030514773","-0.3085022","9.647171","4.314041"
"1102.0","1528923496778","5344035550173","-0.20501709","9.797562","4.3165894"
"1107.0","1528923496784","5344040585573","-0.07951355","10.019241","4.3133087"
"1112.0","1528923496788","5344045620974","0.02330017","10.173767","4.13002"
"1117.0","1528923496794","5344050656374","0.09384155","10.276413","3.9640045"
"1122.0","1528923496799","5344055691775","0.045394897","10.309937","4.0532684"
"1127.0","1528923496806","5344060727175","-0.03225708","10.495941","4.077179"
"1132.0","1528923496816","5344065762575","0.028625488","10.943283","4.031128"
"1138.0","1528923496817","5344070797976","0.1437378","11.467056","4.0354614"
"1143.0","1528923496821","5344075833376","0.2841339","12.044556","3.8950653"
"1148.0","1528923496824","5344080868777","0.41047668","12.606613","3.8618622"
"1153.0","1528923496829","5344085904177","0.6054535","13.131119","4.024414"
"1158.0","1528923496834","5344090939577","0.897995","13.609634","3.9760132"
"1163.0","1528923496839","5344095974978","1.1022339","14.026413","3.6619873"
"1168.0","1528923496844","5344101010378","1.3951263","14.507828","3.3743591"
"1173.0","1528923496848","5344106045779","-0.012283325","14.993469","2.2546387"
"1178.0","1528923496854","5344111081179","-0.20715332","15.033997","1.7425995"
