"timestamp","sys_time","abs_timestamp","raw_x_rot","raw_y_rot","raw_z_rot"
"0.0","1528923496104","5343316556032","0.24476404","0.21602537","0.20703094"
"4.0","1528923496124","5343321530398","0.24983573","0.2132981","0.20723274"
"9.0","1528923496154","5343326504763","0.2546097","0.21069288","0.20757882"
"14.0","1528923496155","5343331509646","0.25913942","0.20797695","0.20764814"
"20.0","1528923496157","5343336850222","0.26308826","0.20525806","0.20834908"
"24.0","1528923496158","5343341458376","0.2655911","0.20281407","0.20944037"
"29.0","1528923496160","5343346432741","0.2676213","0.19988544","0.21172419"
"34.0","1528923496161","5343351407107","0.26929602","0.19674724","0.21367395"
"39.0","1528923496163","5343356381472","0.27055568","0.19380528","0.21647237"
"44.0","1528923496164","5343361355837","0.27181613","0.19094768","0.2195174"
"50.0","1528923496166","5343366696413","0.27355838","0.18801244","0.2229251"
"54.0","1528923496167","5343371304568","0.27467114","0.1855756","0.22533436"
"59.0","1528923496169","5343376278933","0.27633882","0.18350975","0.22818099"
"64.0","1528923496170","5343381253298","0.27844417","0.18166882","0.23125547"
"69.0","1528923496172","5343386227663","0.28086308","0.18011966","0.23436639"
"74.0","1528923496173","5343391232546","0.28377536","0.17871082","0.23688817"
"80.0","1528923496174","5343396573122","0.2871544","0.17759407","0.24030718"
"84.0","1528923496175","5343401181277","0.28963682","0.1770027","0.24352151"
"89.0","1528923496176","5343406155642","0.2929561","0.17651978","0.247383"
"94.0","1528923496178","5343411191042","0.29667014","0.17610371","0.25212234"
"99.0","1528923496180","5343416073855","0.30034363","0.17611296","0.25714585"
"104.0","1528923496180","5343421078738","0.30450565","0.17629057","0.26275387"
"109.0","1528923496183","5343426419314","0.30904752","0.1766229","0.269656"
"114.0","1528923496186","5343431027468","0.31251472","0.17716539","0.27641302"
"119.0","1528923496197","5343436001833","0.31604034","0.17797223","0.28363776"
"124.0","1528923496199","5343440976198","0.31916407","0.17909414","0.29099083"
"129.0","1528923496203","5343445950564","0.32223266","0.18045111","0.29877684"
"134.0","1528923496204","5343450955446","0.32516","0.18225104","0.30642143"
"139.0","1528923496207","5343456296023","0.32815713","0.18454002","0.3140389"
"144.0","1528923496209","5343460904177","0.33072942","0.18682793","0.32056463"
"149.0","1528923496211","5343465878542","0.33386636","0.18953538","0.3270181"
"154.0","1528923496215","5343470852907","0.3374621","0.19254433","0.33346573"
"159.0","1528923496220","5343475827273","0.34188688","0.19528654","0.338552"
"164.0","1528923496225","5343480801638","0.34665707","0.19795083","0.34278134"
"169.0","1528923496230","5343486172732","0.35176075","0.20073965","0.34618592"
"174.0","1528923496236","5343490780886","0.35624135","0.20301627","0.34880617"
"179.0","1528923496239","5343495724734","0.3604275","0.20507082","0.3504285"
"184.0","1528923496243","5343500699099","0.36387664","0.20686561","0.3515071"
"189.0","1528923496249","5343505673464","0.36639056","0.20825627","0.3529243"
"194.0","1528923496254","5343510678347","0.3681519","0.2091454","0.35432056"
"199.0","1528923496259","5343516018923","0.36884832","0.20979615","0.35708797"
"204.0","1528923496263","5343520627077","0.3688146","0.21012713","0.35963926"
"209.0","1528923496273","5343525601443","0.36806023","0.2104266","0.3630736"
"214.0","1528923496275","5343530575808","0.36696714","0.21079074","0.36660135"
"218.0","1528923496285","5343535550173","0.36531746","0.21148159","0.370578"
"223.0","1528923496285","5343540555056","0.36355898","0.21252227","0.37447554"
"229.0","1528923496293","5343545895632","0.36203894","0.21397673","0.37818485"
"233.0","1528923496295","5343550503786","0.360525","0.21579638","0.382489"
"238.0","1528923496298","5343555478152","0.35938466","0.21795699","0.38583842"
"243.0","1528923496304","5343560452517","0.3585945","0.22040693","0.38907826"
"248.0","1528923496312","5343565426882","0.3583759","0.22304428","0.3919873"
"253.0","1528923496314","5343570401247","0.35846502","0.2261087","0.3953647"
"259.0","1528923496327","5343575741823","0.3591938","0.22923896","0.39792815"
"263.0","1528923496330","5343580349978","0.36002237","0.23200686","0.40036452"
"268.0","1528923496333","5343585324343","0.3610973","0.23506072","0.40302044"
"273.0","1528923496336","5343590329226","0.3620949","0.23859608","0.4066571"
"278.0","1528923496341","5343595273073","0.3634537","0.2416931","0.40947378"
"283.0","1528923496343","5343600277956","0.36497578","0.24483494","0.41234383"
"289.0","1528923496348","5343605618532","0.3666993","0.24820937","0.41522112"
"293.0","1528923496357","5343610257204","0.3683047","0.25105473","0.41788283"
"298.0","1528923496359","5343615201052","0.36996913","0.25408173","0.42055067"
"303.0","1528923496365","5343620175417","0.37156174","0.25713256","0.42295218"
"308.0","1528923496371","5343625149782","0.3733153","0.2601061","0.4247564"
"313.0","1528923496374","5343630154665","0.3751979","0.26295528","0.4262272"
"318.0","1528923496378","5343635495241","0.37697348","0.2658948","0.42778143"
"323.0","1528923496383","5343640103396","0.37858292","0.26824","0.42872515"
"328.0","1528923496388","5343645077761","0.3800214","0.2707053","0.42944852"
"333.0","1528923496393","5343650052126","0.38126728","0.2730169","0.43009964"
"338.0","1528923496397","5343655026491","0.38222426","0.2751957","0.4309674"
"343.0","1528923496402","5343660000857","0.3827627","0.2773586","0.43201864"
"348.0","1528923496409","5343665371950","0.38288468","0.279827","0.4331244"
"353.0","1528923496412","5343669980105","0.3827574","0.28203356","0.43432903"
"358.0","1528923496418","5343674954470","0.38265425","0.28454158","0.43562344"
"363.0","1528923496423","5343679928835","0.38267997","0.287209","0.4369517"
"368.0","1528923496428","5343684903200","0.3779814","0.29078773","0.44635653"
"373.0","1528923496432","5343689877566","0.3773107","0.29475275","0.4476608"
"378.0","1528923496438","5343695248659","0.37590832","0.30041125","0.4492599"
