"timestamp","sys_time","abs_timestamp","raw_x_mag","raw_y_mag","raw_z_mag"
"1550.0","1533402449667","253353902011348","-90.11078","-26.220703","34.56421"
"1571.0","1533402449687","253353922152950","-90.65857","-27.20642","34.67102"
"1591.0","1533402449708","253353942294552","-90.84778","-26.972961","34.407043"
"1611.0","1533402449727","253353962436153","-90.78827","-26.559448","34.233093"
"1631.0","1533402449747","253353982577755","-89.95819","-25.256348","35.276794"
"1651.0","1533402449767","253354002719356","-89.60266","-26.611328","34.786987"
"1671.0","1533402449786","253354022860958","-89.60266","-27.406311","34.39789"
"1691.0","1533402449806","253354043002559","-89.60266","-27.406311","35.14862"
"1712.0","1533402449826","253354063144161","-89.08844","-26.634216","35.38971"
"1732.0","1533402449846","253354083285762","-88.92517","-26.390076","35.38971"
"1752.0","1533402449865","253354103427364","-89.47601","-26.940918","33.51288"
"1772.0","1533402449886","253354123568966","-89.60266","-25.413513","33.885193"
"1792.0","1533402449905","253354143710567","-89.60266","-25.036621","34.0683"
"1812.0","1533402449925","253354163852169","-91.07208","-27.679443","34.92737"
"1832.0","1533402449945","253354183993770","-89.67743","-25.875854","34.916687"
"1853.0","1533402449964","253354204135372","-89.43329","-25.544739","34.8938"
"1873.0","1533402449984","253354224276973","-90.68451","-25.856018","34.8938"
"1893.0","1533402450004","253354244418575","-91.571045","-26.664734","35.046387"
"1913.0","1533402450024","253354264560177","-91.63513","-26.72882","35.058594"
"1933.0","1533402450043","253354284701778","-90.312195","-26.72882","33.447266"
"1953.0","1533402450064","253354304843380","-90.61127","-27.722168","35.668945"
"1973.0","1533402450103","253354324984981","-90.60364","-27.72522","35.733032"
"1994.0","1533402450123","253354345126583","-89.42871","-26.226807","36.436462"
"2014.0","1533402450142","253354365268184","-89.263916","-26.390076","33.076477"
"2034.0","1533402450162","253354385409786","-89.31122","-26.531982","33.169556"
"2054.0","1533402450182","253354405551387","-89.92767","-28.233337","34.413147"
"2074.0","1533402450201","253354425692989","-89.77203","-26.220703","34.56421"
"2094.0","1533402450221","253354445834591","-89.7522","-26.454163","34.66797"
"2114.0","1533402450242","253354465976192","-89.627075","-27.964783","35.227966"
"2135.0","1533402450261","253354486117794","-89.77203","-27.236938","34.233093"
"2155.0","1533402450280","253354506259395","-89.68048","-27.330017","34.2041"
"2175.0","1533402450301","253354526400997","-89.39667","-27.548218","34.196472"
"2195.0","1533402450320","253354546542598","-89.94141","-26.72882","34.729004"
"2215.0","1533402450340","253354566684200","-90.06195","-26.77002","34.768677"
"2235.0","1533402450360","253354586825802","-90.28168","-27.15149","34.8938"
"2255.0","1533402450379","253354606967403","-89.77203","-27.914429","34.8938"
"2276.0","1533402450399","253354627109005","-89.67438","-28.111267","34.799194"
"2296.0","1533402450419","253354647250606","-89.793396","-27.822876","34.814453"
"2316.0","1533402450439","253354667392208","-90.6189","-26.05133","35.38971"
"2336.0","1533402450459","253354687533809","-90.678406","-26.228333","35.21881"
"2356.0","1533402450478","253354707675411","-90.24353","-26.620483","35.072327"
"2376.0","1533402450498","253354727817012","-89.263916","-26.72882","35.38971"
"2396.0","1533402450518","253354747958614","-89.808655","-26.322937","34.86023"
"2416.0","1533402450538","253354768100216","-90.55023","-25.784302","34.272766"
"2437.0","1533402450558","253354788241817","-90.449524","-25.881958","34.56421"
"2457.0","1533402450577","253354808383419","-90.60516","-26.037598","34.413147"
"2477.0","1533402450597","253354828525020","-89.99939","-25.74768","34.851074"
"2497.0","1533402450616","253354848666622","-89.09454","-25.205994","35.554504"
"2517.0","1533402450637","253354868808223","-90.223694","-25.987244","35.9787"
"2537.0","1533402450657","253354888949825","-90.32593","-26.994324","35.090637"
"2557.0","1533402450676","253354909091427","-89.43329","-27.236938","33.901978"
"2578.0","1533402450696","253354929233028","-90.4892","-27.52533","35.11963"
"2598.0","1533402450716","253354949374630","-90.41901","-27.2583","35.575867"
"2618.0","1533402450735","253354969516231","-89.77203","-26.898193","35.224915"
"2638.0","1533402450755","253354989657833","-89.98413","-27.320862","35.01892"
"2658.0","1533402450775","253355009799434","-89.25781","-26.93634","34.8938"
"2678.0","1533402450795","253355029941036","-88.7558","-26.559448","34.8938"
"2698.0","1533402450815","253355050082637","-89.56299","-26.675415","34.332275"
"2719.0","1533402450836","253355070224239","-89.36157","-26.612854","33.955383"
"2739.0","1533402450855","253355090365841","-89.09454","-26.559448","33.901978"
"2654.0","1533402450874","253355005378151","-90.09247","-26.062012","34.877014"
"2674.0","1533402450897","253355025519753","-89.82239","-26.760864","34.858704"
"2694.0","1533402450965","253355045661354","-89.60266","-27.067566","34.729004"
"2714.0","1533402450967","253355065802956","-89.60266","-26.800537","34.98993"
"2734.0","1533402450982","253355085944557","-90.54718","-27.941895","34.666443"
"2754.0","1533402450987","253355106086159","-90.78827","-28.253174","34.56421"
"2775.0","1533402450993","253355126227761","-90.35797","-28.398132","34.42383"
"2795.0","1533402451013","253355146369362","-90.7135","-27.415466","35.10132"
"2815.0","1533402451032","253355166510964","-90.78827","-27.236938","35.224915"
"2835.0","1533402451052","253355186652565","-91.09497","-26.931763","35.821533"
"2855.0","1533402451072","253355206794167","-90.05585","-28.277588","34.54132"
"2875.0","1533402451092","253355226935768","-89.94141","-28.422546","34.39789"
"2895.0","1533402451111","253355247077370","-89.94141","-27.775574","35.664368"
"2916.0","1533402451132","253355267218971","-89.94141","-27.096558","34.77173"
"2936.0","1533402451151","253355287360573","-89.94141","-27.067566","34.729004"
"2956.0","1533402451191","253355307502175","-90.46326","-26.898193","33.92334"
"2976.0","1533402451210","253355327643776","-91.46576","-26.898193","35.554504"
"2996.0","1533402451230","253355347785378","-91.41693","-26.898193","35.554504"
"3016.0","1533402451250","253355367926979","-90.47241","-26.831055","35.51178"
"3036.0","1533402451270","253355388068581","-90.78827","-25.881958","34.8938"
"3057.0","1533402451289","253355408210182","-90.73639","-26.042175","34.947205"
"3077.0","1533402451309","253355428351784","-90.34271","-27.223206","35.369873"
"3097.0","1533402451328","253355448493386","-90.78827","-25.881958","35.224915"
"3117.0","1533402451349","253355468634987","-90.68146","-25.990295","35.121155"
"3137.0","1533402451369","253355488776589","-90.3183","-26.649475","34.5932"
"3157.0","1533402451389","253355508918190","-91.29639","-27.067566","34.729004"
"3177.0","1533402451410","253355529059792","-91.18805","-27.250671","34.765625"
"3198.0","1533402451428","253355549201393","-91.02173","-27.682495","34.742737"
"3218.0","1533402451448","253355569342995","-91.804504","-26.898193","34.233093"
"3238.0","1533402451467","253355589484596","-91.30249","-27.584839","34.27887"
"3258.0","1533402451488","253355609626198","-90.086365","-29.008484","34.725952"
"3278.0","1533402451507","253355629767800","-90.449524","-27.914429","35.554504"
"3298.0","1533402451527","253355649909401","-90.55939","-28.024292","35.23407"
"3318.0","1533402451547","253355670051003","-90.61737","-28.196716","34.2865"
"3339.0","1533402451566","253355690192604","-90.28015","-28.083801","33.737183"
"3359.0","1533402451586","253355710334206","-90.08789","-28.405762","34.176636"
"3379.0","1533402451606","253355730475807","-89.442444","-28.601074","34.829712"
"3399.0","1533402451626","253355750617409","-88.92517","-28.083801","34.729004"
"3419.0","1533402451645","253355770759011","-88.85193","-28.305054","35.372925"
"3439.0","1533402451665","253355790900612","-89.43024","-27.919006","35.559082"
"3459.0","1533402451685","253355811042214","-90.28015","-27.067566","34.729004"
"3480.0","1533402451705","253355831183815","-89.95209","-27.397156","34.568787"
"3500.0","1533402451726","253355851325417","-90.1062","-27.745056","34.23462"
"3520.0","1533402451744","253355871467018","-90.6189","-27.745056","34.0683"
"3540.0","1533402451765","253355891608620","-90.34424","-27.653503","34.872437"
"3560.0","1533402451784","253355911750221","-90.66925","-28.504944","34.648132"
"3580.0","1533402451804","253355931891823","-91.127014","-29.26941","33.901978"
"3600.0","1533402451824","253355952033425","-90.322876","-28.666687","34.295654"
"3621.0","1533402451843","253355972175026","-90.078735","-27.745056","34.0683"
"3641.0","1533402451862","253355992316628","-90.28015","-27.406311","33.737183"
"3661.0","1533402451882","253356012458229","-90.171814","-27.954102","35.55298"
"3681.0","1533402451903","253356032599831","-90.11078","-28.475952","35.035706"
"3701.0","1533402451923","253356052741432","-90.11078","-28.591919","34.233093"
"3721.0","1533402451942","253356072883034","-89.75525","-28.23639","34.118652"
"3741.0","1533402451962","253356093024636","-89.96277","-27.485657","34.41925"
"3762.0","1533402451985","253356113166237","-90.11078","-27.236938","34.56421"
"3782.0","1533402452001","253356133307839","-91.007996","-27.877808","34.68933"
"3802.0","1533402452022","253356153449440","-90.91034","-27.697754","34.60388"
"3822.0","1533402452041","253356173591042","-90.78827","-27.575684","34.56421"
"3842.0","1533402452061","253356193732643","-91.06445","-27.575684","33.76007"
"3862.0","1533402452081","253356213874245","-90.852356","-29.50592","35.186768"
"3882.0","1533402452100","253356234015846","-90.78827","-29.9469","35.554504"
"3903.0","1533402452120","253356254157448","-90.4953","-26.721191","34.983826"
"3923.0","1533402452140","253356274299050","-89.715576","-27.54364","34.751892"
"3943.0","1533402452159","253356294440651","-89.60266","-27.745056","34.729004"
"3963.0","1533402452179","253356314582253","-90.693665","-28.83606","34.274292"
"3983.0","1533402452200","253356334723854","-91.256714","-27.215576","34.994507"
"4003.0","1533402452219","253356354865456","-91.29639","-27.067566","35.058594"
"4023.0","1533402452239","253356375007057","-89.64844","-28.717041","34.095764"
"4044.0","1533402452259","253356395148659","-90.26337","-27.772522","34.39026"
"4064.0","1533402452298","253356415290261","-90.28931","-27.75879","34.40094"
"4084.0","1533402452318","253356435431862","-91.08887","-28.883362","34.584045"
"4104.0","1533402452338","253356455573464","-89.77203","-27.236938","35.224915"
"4124.0","1533402452358","253356475715065","-89.68506","-27.32544","35.203552"
"4144.0","1533402452378","253356495856667","-88.55591","-28.509521","34.976196"
"4164.0","1533402452397","253356515998268","-90.11078","-27.575684","35.88562"
"4185.0","1533402452418","253356536139870","-90.03143","-27.616882","35.610962"
"4205.0","1533402452439","253356556281471","-89.66217","-27.824402","33.750916"
"4225.0","1533402452457","253356576423073","-91.127014","-27.236938","34.8938"
"4245.0","1533402452476","253356596564675","-90.83557","-27.120972","34.83734"
"4265.0","1533402452497","253356616706276","-89.52942","-26.782227","34.596252"
"4285.0","1533402452517","253356636847878","-89.94141","-27.745056","34.729004"
"4305.0","1533402452535","253356656989479","-89.826965","-27.630615","34.46808"
"4326.0","1533402452556","253356677131081","-89.556885","-27.441406","34.010315"
"4346.0","1533402452575","253356697272682","-89.94141","-28.083801","35.38971"
"4366.0","1533402452601","253356717414284","-90.03754","-27.894592","35.112"
"4386.0","1533402452616","253356737555886","-90.330505","-27.456665","34.350586"
"4406.0","1533402452634","253356757697487","-90.449524","-27.575684","34.233093"
"4426.0","1533402452654","253356777839089","-90.449524","-27.462769","34.45587"
"4446.0","1533402452674","253356797980690","-89.741516","-27.119446","34.779358"
"4467.0","1533402452694","253356818122292","-88.41705","-26.898193","34.56421"
"4487.0","1533402452713","253356838263893","-89.14795","-27.230835","35.01892"
"4507.0","1533402452733","253356858405495","-90.486145","-28.086853","35.787964"
"4527.0","1533402452753","253356878547096","-90.78827","-28.591919","35.88562"
"4547.0","1533402452772","253356898688698","-90.7135","-28.213501","35.812378"
"4567.0","1533402452793","253356918830300","-90.23285","-28.13263","35.343933"
"4587.0","1533402452812","253356938971901","-89.77203","-28.591919","34.8938"
"4608.0","1533402452832","253356959113503","-89.60266","-28.422546","34.729004"
"4628.0","1533402452852","253356979255104","-89.78119","-27.9068","34.22699"
"4648.0","1533402452871","253356999396706","-90.11078","-27.575684","33.901978"
"4668.0","1533402452892","253357019538307","-90.678406","-28.330994","33.901978"
"4688.0","1533402452912","253357039679909","-90.07416","-27.877808","34.370422"
"4708.0","1533402452931","253357059821511","-89.263916","-27.067566","34.729004"
"4728.0","1533402452950","253357079963112","-90.30304","-27.067566","33.717346"
"4748.0","1533402452971","253357100104714","-90.434265","-27.592468","34.2041"
"4769.0","1533402452990","253357120246315","-90.11078","-27.914429","34.8938"
"4789.0","1533402453010","253357140387917","-90.45105","-28.02887","35.66742"
"4809.0","1533402453030","253357160529518","-90.96222","-28.656006","35.94055"
"4829.0","1533402453050","253357180671120","-91.127014","-28.930664","35.88562"
"4849.0","1533402453070","253357200812721","-90.51514","-28.074646","35.050964"
"4869.0","1533402453089","253357220954323","-89.66675","-27.868652","34.13086"
"4889.0","1533402453109","253357241095925","-89.43329","-27.914429","33.901978"
"4910.0","1533402453129","253357261237526","-91.0141","-27.651978","35.188293"
"4930.0","1533402453149","253357281379128","-91.06903","-28.237915","34.651184"
"4950.0","1533402453168","253357301520729","-90.95764","-28.422546","34.39789"
"4970.0","1533402453188","253357321662331","-88.70087","-26.44806","34.94873"
"4990.0","1533402453208","253357341803932","-89.52179","-26.759338","34.646606"
"5010.0","1533402453228","253357361945534","-89.77203","-26.898193","34.56421"
"5030.0","1533402453248","253357382087136","-88.57117","-27.799988","35.151672"
"5051.0","1533402453268","253357402228737","-90.37628","-27.764893","34.48944"
"5071.0","1533402453287","253357422370339","-90.6189","-27.745056","34.39789"
"5091.0","1533402453307","253357442511940","-88.86261","-27.905273","35.801697"
"5111.0","1533402453327","253357462653542","-91.474915","-28.39508","34.170532"
"5131.0","1533402453346","253357482795143","-91.63513","-28.422546","34.0683"
"5151.0","1533402453367","253357502936745","-90.2832","-27.070618","35.057068"
"5171.0","1533402453388","253357523078346","-89.775085","-28.250122","35.224915"
"5192.0","1533402453426","253357543219948","-89.77814","-28.248596","35.231018"
"5212.0","1533402453446","253357563361550","-90.00397","-28.057861","35.398865"
"5232.0","1533402453465","253357583503151","-91.127014","-27.575684","35.554504"
"5252.0","1533402453485","253357603644753","-91.052246","-27.62146","35.510254"
"5272.0","1533402453505","253357623786354","-90.226746","-28.138733","35.112"
"5292.0","1533402453525","253357643927956","-89.77203","-28.591919","35.554504"
"5312.0","1533402453544","253357664069557","-89.67438","-28.591919","35.650635"
"5333.0","1533402453564","253357684211159","-89.34021","-28.729248","35.977173"
"5353.0","1533402453584","253357704352761","-90.6189","-29.438782","34.729004"
"5373.0","1533402453603","253357724494362","-90.17792","-29.26941","34.62982"
"5393.0","1533402453624","253357744635964","-88.92822","-28.44696","34.30481"
"5413.0","1533402453642","253357764777565","-90.78827","-27.914429","34.56421"
"5433.0","1533402453663","253357784919167","-90.96222","-27.82898","34.902954"
"5453.0","1533402453683","253357805060768","-90.826416","-27.667236","35.351563"
"5474.0","1533402453703","253357825202370","-89.09454","-27.914429","33.901978"
"5494.0","1533402453722","253357845343971","-89.36005","-28.179932","34.057617"
"5514.0","1533402453744","253357865485573","-90.32593","-28.378296","34.45282"
"5534.0","1533402453762","253357885627175","-91.127014","-27.575684","34.56421"
"5554.0","1533402453781","253357905768776","-91.189575","-27.26593","34.74579"
"5574.0","1533402453801","253357925910378","-90.65552","-27.114868","34.934998"
"5594.0","1533402453821","253357946051979","-89.60266","-27.745056","34.729004"
"5615.0","1533402453841","253357966193581","-89.245605","-27.244568","35.357666"
"5635.0","1533402453861","253357986335182","-89.123535","-27.807617","35.57129"
"5655.0","1533402453880","253358006476784","-89.60266","-29.438782","34.729004"
"5675.0","1533402453901","253358026618386","-90.08942","-28.466797","35.046387"
"5695.0","1533402453922","253358046759987","-90.6189","-27.406311","35.06775"
"5715.0","1533402453940","253358066901589","-90.6189","-27.406311","34.729004"
"5735.0","1533402453960","253358087043190","-89.715576","-27.949524","34.376526"
"5756.0","1533402453980","253358107184792","-89.01825","-28.515625","34.69696"
"5776.0","1533402453999","253358127326393","-89.09454","-28.591919","35.224915"
"5796.0","1533402454019","253358147467995","-89.09454","-27.793884","34.640503"
"5816.0","1533402454039","253358167609596","-89.50043","-28.451538","34.431458"
"5836.0","1533402454058","253358187751198","-89.77203","-29.26941","34.56421"
"5856.0","1533402454079","253358207911437","-89.99176","-28.17688","35.203552"
"5876.0","1533402454101","253358228053038","-90.33203","-28.018188","35.554504"
"5897.0","1533402454118","253358248194640","-90.449524","-28.253174","35.554504"
"5917.0","1533402454140","253358268336241","-90.33203","-27.897644","33.81958"
"5937.0","1533402454158","253358288477843","-90.75928","-28.224182","34.477234"
"5957.0","1533402454179","253358308619444","-90.95764","-28.422546","35.058594"
"5977.0","1533402454198","253358328761046","-90.701294","-28.68042","35.310364"
"5997.0","1533402454219","253358348902648","-89.4577","-25.019836","30.982971"
"6017.0","1533402454239","253358369044249","-89.09454","-23.851013","29.606628"
"6038.0","1533402454261","253358389185851","-89.09454","-22.198486","29.606628"
"6058.0","1533402454286","253358409327452","-88.957214","-23.893738","30.552673"
"6078.0","1533402454302","253358429469054","-88.92517","-24.35913","30.763245"
"6098.0","1533402454332","253358449610655","-89.660645","-25.3891","31.768799"
"6118.0","1533402454342","253358469752257","-90.80505","-25.398254","32.35321"
"6138.0","1533402454358","253358489893858","-90.95764","-25.375366","32.41577"
"6158.0","1533402454380","253358510035460","-89.079285","-25.375366","32.720947"
"6179.0","1533402454397","253358530177062","-88.76953","-24.59259","31.67572"
"6199.0","1533402454417","253358550318663","-88.7558","-24.528503","31.588745"
"6219.0","1533402454436","253358570460265","-89.7522","-27.183533","32.23877"
"6239.0","1533402454457","253358590601866","-89.938354","-25.413513","31.765747"
"6259.0","1533402454496","253358610743468","-89.95056","-25.367737","31.736755"
"6279.0","1533402454516","253358630885069","-90.449524","-24.891663","30.633545"
"6299.0","1533402454536","253358651026671","-90.449524","-25.544739","31.588745"
"6320.0","1533402454562","253358671168273","-90.38849","-25.582886","31.55365"
"6340.0","1533402454575","253358691309874","-89.6637","-25.991821","31.30188"
"6360.0","1533402454595","253358711451476","-90.28015","-25.375366","33.407593"
"6380.0","1533402454615","253358731593077","-90.25879","-25.52948","33.215332"
"6400.0","1533402454643","253358751734679","-90.20996","-26.51062","31.91986"
"6420.0","1533402454656","253358771876280","-90.78827","-26.220703","31.91986"
"6440.0","1533402454676","253358792017882","-90.72571","-25.782776","31.982422"
"6461.0","1533402454696","253358812159483","-90.415955","-24.156189","32.218933"
"6481.0","1533402454713","253358832301085","-90.28015","-25.375366","32.084656"
"6501.0","1533402454733","253358852442687","-90.19928","-25.540161","32.084656"
"6521.0","1533402454757","253358872584288","-89.94141","-25.878906","32.084656"
"6541.0","1533402454773","253358892725890","-89.94141","-25.375366","32.084656"
"6561.0","1533402454795","253358912867491","-90.29541","-25.628662","31.83899"
"6581.0","1533402454811","253358933009093","-91.075134","-25.958252","31.517029"
"6602.0","1533402454840","253358953150694","-90.95764","-25.375366","32.084656"
"6622.0","1533402454861","253358973292296","-90.71808","-25.616455","32.203674"
"6642.0","1533402454870","253358993433898","-90.156555","-25.804138","32.780457"
"6662.0","1533402454891","253359013575499","-89.94141","-25.375366","33.407593"
"6682.0","1533402454912","253359033717101","-89.59503","-25.584412","32.52716"
"6702.0","1533402454931","253359053858702","-89.8819","-25.668335","31.747437"
"6722.0","1533402454963","253359074000304","-90.95764","-25.375366","32.41577"
"6743.0","1533402454975","253359094141905","-90.3244","-25.534058","32.261658"
"6763.0","1533402454990","253359114283507","-90.41138","-25.39215","32.559204"
"6783.0","1533402455013","253359134425108","-91.29639","-25.036621","33.076477"
