"timestamp","sys_time","abs_timestamp","raw_x_acc","raw_y_acc","raw_z_acc"
"0.0","1533402447823","253352023807003","0.12034607","-7.615692","6.469116"
"5.0","1533402447824","253352028842403","0.032287598","-7.561554","6.546524"
"10.0","1533402447824","253352033877803","-0.06523132","-7.6187744","6.565933"
"15.0","1533402447824","253352038913204","0.06599426","-7.6566772","6.4925385"
"20.0","1533402447825","253352043948604","0.0061187744","-7.6190186","6.435196"
"25.0","1533402447825","253352048984005","-0.07383728","-7.651474","6.4798126"
"30.0","1533402447825","253352054019405","-0.1081543","-7.642395","6.582855"
"35.0","1533402447825","253352059054805","-0.07849121","-7.536957","6.4365997"
"40.0","1533402447825","253352064090206","-0.19146729","-7.476837","6.51709"
"45.0","1533402447902","253352069125606","-0.082839966","-7.607605","6.5845947"
"50.0","1533402447903","253352074161007","-0.049957275","-7.741516","6.676422"
"55.0","1533402447903","253352079196407","-0.026855469","-7.620926","6.6263275"
"60.0","1533402447903","253352084231807","-0.19229126","-7.675522","6.5473175"
"65.0","1533402447903","253352089267208","0.04508972","-7.700531","6.482376"
"70.0","1533402447903","253352094302608","0.06478882","-7.63649","6.3799286"
"75.0","1533402447903","253352099338009","-0.19282532","-7.6173553","6.518936"
"80.0","1533402447904","253352104373409","0.036239624","-7.673416","6.5240784"
"85.0","1533402447904","253352109408809","0.07772827","-7.699341","6.463135"
"90.0","1533402447904","253352114444210","-0.012145996","-7.564102","6.466736"
"95.0","1533402447904","253352119479610","-0.08230591","-7.5552063","6.4295807"
"100.0","1533402447904","253352124515010","-0.1688385","-7.60466","6.493515"
"105.0","1533402447904","253352129550411","-0.103271484","-7.605652","6.2726593"
"110.0","1533402447904","253352134585811","-0.23846436","-7.5894165","6.533478"
"115.0","1533402447905","253352139621212","-0.061920166","-7.6954346","6.675644"
"120.0","1533402447916","253352144656612","-0.060958862","-7.629135","6.5523987"
"125.0","1533402447917","253352149692012","-0.12913513","-7.462204","6.4064026"
"130.0","1533402447917","253352154727413","-0.195755","-7.6030884","6.56102"
"135.0","1533402447921","253352159762813","0.09034729","-7.700287","6.486084"
"140.0","1533402447926","253352164798214","-0.009155273","-7.581375","6.49794"
"146.0","1533402447931","253352169833614","-0.09114075","-7.5894165","6.4999237"
"151.0","1533402447936","253352174869014","0.07217407","-7.5793457","6.518875"
"156.0","1533402447941","253352179904415","0.10809326","-7.6394043","6.437271"
"161.0","1533402447946","253352184939815","-0.0055236816","-7.656021","6.5469055"
"166.0","1533402447950","253352189975216","-0.007949829","-7.579239","6.6377563"
"171.0","1533402447955","253352195010616","-0.09384155","-7.568573","6.5260773"
"176.0","1533402447960","253352200046016","-0.17933655","-7.5321503","6.382065"
"181.0","1533402447965","253352205081417","-0.19517517","-7.620697","6.5604553"
"186.0","1533402447970","253352210116817","-0.081710815","-7.7240143","6.6636353"
"191.0","1533402447975","253352215152218","-0.06854248","-7.6322327","6.59964"
"196.0","1533402447980","253352220187618","-0.15673828","-7.5762177","6.6156464"
