"timestamp","sys_time","abs_timestamp","raw_x_gyro","raw_y_gyro","raw_z_gyro"
"14094.0","1533402462397","253366531403982","-0.0016021729","0.30171204","-0.24485779"
"14099.0","1533402462402","253366536439383","-0.0016021729","0.2998352","-0.24809265"
"14104.0","1533402462406","253366541474783","-0.0016021729","0.3025055","-0.24356079"
"14109.0","1533402462411","253366546510183","-0.002960205","0.30004883","-0.24736023"
"14114.0","1533402462416","253366551545584","-0.0023651123","0.2987671","-0.25022888"
"14119.0","1533402462428","253366556580984","-0.0016021729","0.30056763","-0.24772644"
"14124.0","1533402462431","253366561616385","-0.0016021729","0.2983551","-0.24884033"
"14129.0","1533402462436","253366566651785","-0.0037078857","0.29490662","-0.25054932"
"14134.0","1533402462438","253366571687185","-0.0048065186","0.29675293","-0.24945068"
"14140.0","1533402462442","253366576722586","-0.0040283203","0.2996521","-0.24720764"
"14145.0","1533402462448","253366581757986","-0.0053710938","0.29615784","-0.2531433"
"14150.0","1533402462453","253366586793387","-0.006713867","0.29818726","-0.25187683"
"14155.0","1533402462458","253366591828787","-0.0061035156","0.302536","-0.24581909"
"14160.0","1533402462462","253366596864187","-0.005874634","0.29936218","-0.25099182"
"14165.0","1533402462466","253366601899588","-0.005874634","0.29808044","-0.25042725"
"14170.0","1533402462471","253366606934988","-0.0049743652","0.30171204","-0.24713135"
"14175.0","1533402462476","253366611970389","-0.0057373047","0.2967682","-0.251297"
"14180.0","1533402462481","253366617005789","-0.0068359375","0.2959442","-0.2519989"
"14185.0","1533402462486","253366622041189","-0.0079193115","0.3017578","-0.24520874"
"14190.0","1533402462491","253366627076590","-0.00894165","0.30142212","-0.24728394"
"14195.0","1533402462495","253366632111990","-0.008071899","0.29925537","-0.24873352"
"14200.0","1533402462507","253366637147390","-0.0069885254","0.3022461","-0.24879456"
"14205.0","1533402462509","253366642182791","-0.008010864","0.29917908","-0.25300598"
"14210.0","1533402462515","253366647218191","-0.0090789795","0.29914856","-0.25195313"
"14215.0","1533402462521","253366652253592","-0.0079956055","0.29914856","-0.24665833"
"14220.0","1533402462522","253366657288992","-0.0069885254","0.29914856","-0.24665833"
"14225.0","1533402462530","253366662324392","-0.007949829","0.29499817","-0.2499237"
"14230.0","1533402462535","253366667359793","-0.0070343018","0.29692078","-0.25100708"
"14235.0","1533402462540","253366672395193","-0.008010864","0.2958374","-0.2519989"
