"timestamp","sys_time","abs_timestamp","raw_x_lin_acc","raw_y_lin_acc","raw_z_lin_acc"
"0.0","1528921536885","3381757697105","0.20856044","0.14975548","-0.2666235"
"5.0","1528921536891","3381762701988","0.24724245","0.20328808","-0.090867996"
"10.0","1528921536899","3381767706871","0.35030696","0.14705968","0.036099434"
"14.0","1528921536907","3381772681236","0.2614232","0.10625219","-0.048823357"
"20.0","1528921536909","3381778052330","0.27806824","0.0917747","-0.022400856"
"24.0","1528921536911","3381782691002","0.22340454","0.14418006","-0.21465302"
"29.0","1528921536913","3381787665367","0.12179811","0.12974596","-0.23719311"
"34.0","1528921536915","3381792670250","-0.03919263","0.13128138","-0.26833916"
"39.0","1528921536924","3381797644615","-0.10522692","0.08555341","-0.33115387"
"44.0","1528921536925","3381802649498","-0.253636","0.042387247","-0.5389967"
"50.0","1528921536929","3381808020591","-0.48288345","0.013140202","-0.5022173"
"54.0","1528921536941","3381812628746","-0.6268109","-0.027486324","-0.35682297"
"59.0","1528921536955","3381817603111","-0.721197","-0.17800307","-0.37244892"
"64.0","1528921536961","3381822607994","-0.6722379","-0.2591498","-0.30329514"
"69.0","1528921536976","3381827582359","-0.46824244","-0.40318203","-0.5078144"
"74.0","1528921536981","3381832587242","-0.24322397","-0.35468602","-0.6212778"
"80.0","1528921536982","3381837958335","-0.043222785","-0.43507814","-0.7781944"
"84.0","1528921536986","3381842566490","0.19044173","-0.39620757","-1.0494289"
"89.0","1528921536990","3381847571373","0.3714853","-0.49402285","-1.0976725"
"94.0","1528921536991","3381852545738","0.3946979","-0.45798445","-1.042263"
"99.0","1528921536995","3381857520103","0.47619414","-0.530684","-1.2498674"
"104.0","1528921537001","3381862524986","0.50565356","-0.7121651","-1.3606405"
"110.0","1528921537004","3381867926597","0.3996187","-0.92312","-1.5092058"
"114.0","1528921537007","3381872534752","0.17773116","-1.134846","-1.7155848"
"119.0","1528921537010","3381877509117","-0.04435444","-1.1318502","-1.6588745"
"124.0","1528921537014","3381882514000","-0.23597455","-1.1844692","-1.6927347"
"129.0","1528921537022","3381887488365","-0.20841336","-1.2330499","-1.5607452"
"134.0","1528921537024","3381892493248","-0.056037545","-1.2230496","-1.359436"
"140.0","1528921537046","3381897864341","1.286613","1.1172631","-1.7717009"
"144.0","1528921537047","3381902472496","0.76847124","-0.5006139","-0.43472672"
"149.0","1528921537054","3381907477378","1.3591989","-0.2807238","-0.81857395"
"154.0","1528921537058","3381912451744","1.4516426","-0.3390937","0.08085632"
"159.0","1528921537062","3381917426109","1.475895","-0.45839143","0.22909069"
"164.0","1528921537063","3381922430992","1.7024357","-0.22668338","0.48445797"
"170.0","1528921537065","3381927802085","1.9255657","0.0037853718","0.91829014"
"174.0","1528921537067","3381932410240","1.8005425","0.17699122","1.4665003"
"179.0","1528921537091","3381937384605","1.5907778","0.22968507","1.7105236"
"184.0","1528921537093","3381942389488","1.5225309","0.42691112","1.6834278"
"189.0","1528921537095","3381947363853","1.492248","0.6079881","1.6475906"
"194.0","1528921537102","3381952368736","1.4347854","0.59245014","1.4623508"
"200.0","1528921537104","3381957739830","1.3161397","0.63450265","1.2514048"
"204.0","1528921537105","3381962347984","1.3529644","0.69522643","0.777195"
"209.0","1528921537107","3381967352867","1.1338446","0.6788292","0.52519894"
"214.0","1528921537109","3381972357750","1.0693774","0.77186394","0.20849514"
"219.0","1528921537110","3381977332115","0.9369378","0.8398988","0.19419193"
"224.0","1528921537112","3381982336998","0.7518785","0.9010155","0.13254642"
