"timestamp","sys_time","abs_timestamp","raw_x_lin_acc","raw_y_lin_acc","raw_z_lin_acc"
"350.0","1529263881024","256609069708220","-0.94368196","-0.24208653","0.08702469"
"355.0","1529263881030","256609074652067","-0.8816545","-0.27683246","0.023406029"
"360.0","1529263881034","256609079595915","-0.8939493","-0.2758788","0.08538723"
"365.0","1529263881039","256609084539763","-0.84328985","-0.1807344","0.24825001"
"370.0","1529263881044","256609089483610","-0.7205247","-0.17166972","0.34366894"
"376.0","1529263881050","256609094793669","-0.6694113","-0.14393437","-0.08061981"
"380.0","1529263881054","256609099371306","-0.63328916","-0.07586908","0.11962414"
"385.0","1529263881059","256609104315153","-0.6480819","-0.110485315","0.30642414"
"390.0","1529263881064","256609109228483","-0.65714145","-0.084528446","0.6357136"
"395.0","1529263881069","256609114172331","-0.6900724","-0.073848724","0.68862057"
"400.0","1529263881075","256609119116179","-0.63434684","-0.033239126","0.50052357"
"405.0","1529263881080","256609124456755","-0.5466169","-0.02153492","0.26453114"
"410.0","1529263881085","256609129003874","-0.4588437","0.03902459","0.05662918"
"415.0","1529263881089","256609133947722","-0.43977988","-0.028670788","0.17622948"
"420.0","1529263881094","256609138891569","-0.44713926","-0.023135543","0.33740807"
"425.0","1529263881099","256609143835417","-0.44255728","-0.053462982","0.3580618"
"429.0","1529263881103","256609148779265","-0.52213395","-0.11201632","0.2322197"
"435.0","1529263881109","256609154089323","-0.6442599","-0.11077595","0.0034770966"
"439.0","1529263881127","256609158666960","-0.6897459","-0.11616945","-0.10540676"
"444.0","1529263881128","256609163610808","-0.6348677","-0.09024751","-0.057697296"
"449.0","1529263881129","256609168554655","-0.5970262","-0.13013923","0.04383564"
"454.0","1529263881130","256609173467985","-0.58796966","-0.1220566","0.0712862"
"459.0","1529263881134","256609178411833","-0.5696089","-0.25532067","-0.0408144"
"464.0","1529263881139","256609183752409","-0.5865537","-0.26906478","-0.071783066"
"469.0","1529263881143","256609188299528","-0.5952726","-0.2571975","-0.1732006"
"474.0","1529263881148","256609193243376","-0.6276308","-0.33726585","-0.17702007"
"479.0","1529263881153","256609198187224","-0.62022597","-0.32205892","-0.14777374"
"484.0","1529263881159","256609203131071","-0.5756532","-0.35862052","-0.18726063"
"489.0","1529263881163","256609208074919","-0.51054525","-0.30242097","-0.1816225"
"494.0","1529263881175","256609213384978","-0.43193004","-0.2152785","-0.06755543"
"499.0","1529263881176","256609217962614","-0.34537625","-0.15511131","0.010215759"
"504.0","1529263881178","256609222906462","-0.3372843","-0.0948534","0.06600189"
"509.0","1529263881188","256609227850310","-0.31007957","-0.0042779446","0.15671253"
"514.0","1529263881189","256609232794157","-0.29207176","-0.04190266","0.21125603"
"518.0","1529263881193","256609237738005","-0.23582143","0.017540455","0.1945343"
